checking_time_utc,hour,day_of_week,date,room,status
2022-10-29_18:52:19,2:45pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,3:00pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,3:15pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,3:30pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,3:45pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,4:00pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,4:15pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,4:30pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,4:45pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,5:00pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,5:15pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,5:30pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,5:45pm,Saturday, October 29,257,Unavailable
2022-10-29_18:52:19,2:45pm,Saturday, October 29,258,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,258,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,258,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,258,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,4:00pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,4:15pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,4:30pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,4:45pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,5:00pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,5:15pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,5:30pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,5:45pm,Saturday, October 29,258,Unavailable
2022-10-29_18:52:19,2:45pm,Saturday, October 29,305,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,305,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,305,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,305,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,4:00pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,4:15pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,4:30pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,4:45pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,5:00pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,5:15pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,5:30pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,5:45pm,Saturday, October 29,305,Unavailable
2022-10-29_18:52:19,2:45pm,Saturday, October 29,306,Unavailable
2022-10-29_18:52:19,3:00pm,Saturday, October 29,306,Unavailable
2022-10-29_18:52:19,3:15pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,306,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,356,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,357,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,358,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,436,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,437,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,438,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,440,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,441,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,442,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,514A,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,514B,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,3:00pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,3:15pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,3:30pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,3:45pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,4:00pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,4:15pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,4:30pm,Saturday, October 29,514C,Unavailable
2022-10-29_18:52:19,4:45pm,Saturday, October 29,514C,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,514C,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,514C,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,514C,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,514C,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,514D,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,3:00pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,3:15pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,3:30pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,3:45pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,4:00pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,4:15pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,4:30pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,4:45pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,5:00pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,5:15pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,5:30pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,5:45pm,Saturday, October 29,520A,Unavailable
2022-10-29_18:52:19,2:45pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,520B,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,520C,Available
2022-10-29_18:52:19,2:45pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,3:00pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,3:15pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,3:30pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,3:45pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,4:00pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,4:15pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,4:30pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,4:45pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,5:00pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,5:15pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,5:30pm,Saturday, October 29,520D,Available
2022-10-29_18:52:19,5:45pm,Saturday, October 29,520D,Available
